Local Time (America/New_York),Reactive Power Mean,Apparent Power Mean,Active Power Mean
"9/25/2023, 12:00:00 AM",3774.740234375,11915.6875,11301.9658203125
"9/25/2023, 12:15:00 AM",3780.322509765625,11953.482421875,11339.9208984375
"9/25/2023, 12:30:00 AM",3775.064453125,11963.28125,11352.0341796875
"9/25/2023, 12:45:00 AM",3789.78515625,11939.4365234375,11321.9775390625
"9/25/2023, 1:00:00 AM",3793.292236328125,11885.0546875,11263.4248046875
"9/25/2023, 1:15:00 AM",3829.972412109375,11902.892578125,11269.83984375
"9/25/2023, 1:30:00 AM",3788.69384765625,11864.9912109375,11243.771484375
"9/25/2023, 1:45:00 AM",3792.2763671875,11861.8779296875,11239.283203125
"9/25/2023, 2:00:00 AM",3816.717529296875,11903.2158203125,11274.671875
"9/25/2023, 2:15:00 AM",3830.87548828125,11894.6884765625,11260.8603515625
"9/25/2023, 2:30:00 AM",3804.96484375,11765.2021484375,11132.8564453125
"9/25/2023, 2:45:00 AM",3811.370849609375,11690.3935546875,11051.595703125
"9/25/2023, 3:00:00 AM",3791.501953125,11633.83984375,10998.6142578125
"9/25/2023, 3:15:00 AM",3760.202392578125,11537.0556640625,10907.0263671875
"9/25/2023, 3:30:00 AM",3775.386962890625,11556.08203125,10921.9111328125
"9/25/2023, 3:45:00 AM",3766.963134765625,11527.8544921875,10894.974609375
"9/25/2023, 4:00:00 AM",3765.7939453125,11539.29296875,10907.4755859375
"9/25/2023, 4:15:00 AM",3785.564453125,11559.1201171875,10921.626953125
"9/25/2023, 4:30:00 AM",3755.717041015625,11521.23046875,10891.849609375
"9/25/2023, 4:45:00 AM",3755.85107421875,11519.734375,10890.2119140625
"9/25/2023, 5:00:00 AM",3731.30615234375,11459.7646484375,10835.2275390625
"9/25/2023, 5:15:00 AM",3727.66064453125,11576.005859375,10959.322265625
"9/25/2023, 5:30:00 AM",3713.396728515625,11577.0322265625,10965.279296875
"9/25/2023, 5:45:00 AM",3704.69873046875,11657.970703125,11053.6240234375
"9/25/2023, 6:00:00 AM",3692.69140625,11673.888671875,11074.419921875
"9/25/2023, 6:15:00 AM",3691.795654296875,11860.31640625,11271.0234375
"9/25/2023, 6:30:00 AM",3669.091064453125,11921.9228515625,11343.23046875
"9/25/2023, 6:45:00 AM",3665.81396484375,11988.96875,11414.748046875
"9/25/2023, 7:00:00 AM",3688.357666015625,11990.6455078125,11409.2255859375
"9/25/2023, 7:15:00 AM",3749.764892578125,12072.9697265625,11475.8056640625
"9/25/2023, 7:30:00 AM",3806.79443359375,12099.130859375,11484.580078125
"9/25/2023, 7:45:00 AM",3805.2607421875,12102.8984375,11489.056640625
"9/25/2023, 8:00:00 AM",3788.9287109375,12108.328125,11500.1826171875
"9/25/2023, 8:15:00 AM",3772.9248046875,12128.732421875,11526.8935546875
"9/25/2023, 8:30:00 AM",3782.919189453125,12234.15625,11634.546875
"9/25/2023, 8:45:00 AM",3784.58056640625,12392.96875,11800.9033203125
"9/25/2023, 9:00:00 AM",3894.088623046875,12720.3642578125,12109.5908203125
"9/25/2023, 9:15:00 AM",3936.737060546875,13028.828125,12419.7412109375
"9/25/2023, 9:30:00 AM",3906.972412109375,13100.1474609375,12503.8486328125
"9/25/2023, 9:45:00 AM",3969.324462890625,13382.7275390625,12780.4921875
"9/25/2023, 10:00:00 AM",3999.69580078125,13651.462890625,13052.330078125
"9/25/2023, 10:15:00 AM",4065.3623046875,13813.1640625,13201.2666015625
"9/25/2023, 10:30:00 AM",4120.6640625,13923.6435546875,13299.8193359375
"9/25/2023, 10:45:00 AM",4104.34716796875,13967.6787109375,13351.0029296875
"9/25/2023, 11:00:00 AM",4128.14697265625,14044.5810546875,13424.0859375
"9/25/2023, 11:15:00 AM",4097.9892578125,13984.2041015625,13370.1865234375
"9/25/2023, 11:30:00 AM",4138.81103515625,14145.4140625,13526.2822265625
"9/25/2023, 11:45:00 AM",4176.2939453125,14335.2607421875,13713.3935546875
"9/25/2023, 12:00:00 PM",4171.84814453125,14419.3359375,13802.5556640625
"9/25/2023, 12:15:00 PM",4185.0087890625,14455.3984375,13836.2744140625
"9/25/2023, 12:30:00 PM",4164.12841796875,14464.484375,13852.0224609375
"9/25/2023, 12:45:00 PM",4230.70654296875,14730.0576171875,14109.341796875
"9/25/2023, 1:00:00 PM",4252.01708984375,14877.9453125,14257.3408203125
"9/25/2023, 1:15:00 PM",4270.1103515625,15001.7578125,14381.1318359375
"9/25/2023, 1:30:00 PM",4327.7490234375,15150.640625,14519.33203125
"9/25/2023, 1:45:00 PM",4279.0400390625,15088.54296875,14469.0126953125
"9/25/2023, 2:00:00 PM",4302.57421875,15097.3984375,14471.2255859375
"9/25/2023, 2:15:00 PM",4312.30419921875,15044.1708984375,14412.806640625
"9/25/2023, 2:30:00 PM",4285.75732421875,15028.97265625,14404.89453125
"9/25/2023, 2:45:00 PM",4313.24072265625,15130.32421875,14502.4169921875
"9/25/2023, 3:00:00 PM",4310.087890625,15122.498046875,14495.1943359375
"9/25/2023, 3:15:00 PM",4306.19091796875,15158.7158203125,14534.1337890625
"9/25/2023, 3:30:00 PM",4342.5205078125,15196.861328125,14563.177734375
"9/25/2023, 3:45:00 PM",4324.5126953125,15185.0341796875,14556.150390625
"9/25/2023, 4:00:00 PM",4339.90234375,15158.498046875,14523.8388671875
"9/25/2023, 4:15:00 PM",4337.94384765625,15159.6728515625,14525.6669921875
"9/25/2023, 4:30:00 PM",4359.70068359375,15144.513671875,14503.3876953125
